type
"Anibase"
"Avid"
"Backhome"
"Bayer"
"FDX"
"Identichip"
"ISO"
"Micro ID"
"N/A"
"Peddymark"
"Pet Protect"
"Pettrac"
"Tracer"
"Trovan"
